Friday_of_Week,NFCI,ANFCI,Risk,Credit,Leverage,Nonfinancial_Leverage
01/08/1971,0.591814219095757,0.513565424125125,0.619842295552084,-1.11803780940631,-1.02850526724213,-1.40746096089382
01/15/1971,0.623788059878102,0.575131981302385,0.649215259450542,-1.11978956366277,-1.04639967576906,-1.42413872206766
01/22/1971,0.660849271891636,0.655118434267986,0.684044869789182,-1.12286324810667,-1.06294245763853,-1.4391193806065
01/29/1971,0.701526206486347,0.744339614843224,0.722944217638892,-1.12772049522506,-1.07749664451496,-1.45204598536682
02/05/1971,0.74453338544485,0.833637910619478,0.764823619210108,-1.13484836765437,-1.08956966395832,-1.46261433721148
02/12/1971,0.787608152839626,0.911994075184064,0.807603852371657,-1.14477481153099,-1.09858065032524,-1.47059187350825
02/19/1971,0.829737308492552,0.971166914932559,0.850546881504618,-1.15804288204275,-1.10410340858663,-1.47582118381229
02/26/1971,0.87138495050587,1.00818907694687,0.894195250521201,-1.17518647500528,-1.10553247298269,-1.47821954144411
03/05/1971,0.914134979403779,1.02599243149504,0.940413350436413,-1.19670004611229,-1.10263335916301,-1.47778360474597
03/12/1971,0.960018028675691,1.03099343224881,0.991245424616943,-1.22302123110703,-1.09494170142805,-1.47458243541671
03/19/1971,1.01116363546982,1.03519626126555,1.04894804600448,-1.25446769764414,-1.08233963833297,-1.46875431109745
03/26/1971,1.0697782278074,1.05590750603875,1.11561031006712,-1.29113949633165,-1.06472163663908,-1.46050262095296
04/02/1971,1.13589310669452,1.10847736163228,1.19119634279463,-1.33287927789164,-1.04225360364196,-1.45007804552508
04/09/1971,1.20836118655715,1.20492152523855,1.27415500347322,-1.3793251940118,-1.0150538070315,-1.43774737117817
04/16/1971,1.28289798199706,1.3461372333356,1.36001858041605,-1.42973725386709,-0.983636466826591,-1.423836337663
04/23/1971,1.35309336314876,1.52053293146181,1.44199194783935,-1.48311139605275,-0.948448933178941,-1.40863309694376
04/30/1971,1.41183635478369,1.70548719017878,1.51255936874402,-1.53819746721666,-0.910033137843189,-1.39241323234132
05/07/1971,1.45120435695418,1.86996267366691,1.5635513292303,-1.59364648876658,-0.869023048634871,-1.37542856180648
05/14/1971,1.46264399997597,1.97779300025986,1.58619210942656,-1.64801342131313,-0.826013349336388,-1.3578977521069
05/21/1971,1.44168176151726,2.00190023098439,1.57588853871239,-1.69990238408506,-0.781643587114656,-1.34000611348745
05/28/1971,1.38920442068918,1.92901433218873,1.53326117433061,-1.74793788578684,-0.736414054444243,-1.32191106760116
06/04/1971,1.30974226600209,1.75859596781033,1.46277815973108,-1.79093773881206,-0.690895665471072,-1.30374468367456
06/11/1971,1.21091851256816,1.50256323035432,1.37189832826215,-1.82784863417788,-0.645509261282246,-1.28561849629022
06/18/1971,1.10897500489706,1.19634866915317,1.27641688299539,-1.85765432225319,-0.600687608341234,-1.26763014709749
06/25/1971,1.02081303229073,0.883249619000957,1.19276510101956,-1.87951490831738,-0.556837581446883,-1.24986558213957
07/02/1971,0.962770843706078,0.613327710547859,1.13694491865891,-1.89286924729488,-0.514406220669807,-1.23240376783194
07/09/1971,0.950175838686045,0.440416946985368,1.12380135777781,-1.89729290404441,-0.473787426764353,-1.2153142523165
07/16/1971,0.992607872397645,0.408022699392034,1.16267688025716,-1.89262872247625,-0.435468399053096,-1.19867251046486
07/23/1971,1.09256690419932,0.539176278594752,1.25597289033177,-1.87904969370696,-0.399821004367706,-1.18252075835135
07/30/1971,1.24477944796636,0.829775926334116,1.39844828676483,-1.8569459998904,-0.367199039128783,-1.16689441383113
08/06/1971,1.43518573034453,1.24304888617604,1.57641191045814,-1.82703315340226,-0.337980344302986,-1.15180950884751
08/13/1971,1.64350431890368,1.71820694709876,1.77013586320642,-1.79034054705765,-0.312419220225839,-1.13726362570774
08/20/1971,1.84743078252071,2.18558412017568,1.95807559558663,-1.74816453331084,-0.290805712506513,-1.12323931015337
08/27/1971,2.02144931286688,2.57177379007254,2.11585028553616,-1.70214367043647,-0.273410701725354,-1.10970756152168
09/03/1971,2.15017810652208,2.83149076707683,2.22874294873973,-1.65387336524817,-0.260388932368659,-1.09662980908178
09/10/1971,2.21964486087371,2.93549966195375,2.28363004935835,-1.60509352660143,-0.251935278330581,-1.0839622880759
09/17/1971,2.22896515865072,2.88880191989093,2.28011435434412,-1.55746436002761,-0.248190719443436,-1.07165892770785
09/24/1971,2.18169176961039,2.71225575377527,2.22211607679382,-1.5125353714012,-0.249277819759243,-1.05967352870024
10/01/1971,2.08845890631575,2.44550467511113,2.1204151651708,-1.47168302498384,-0.255264117891489,-1.04796351436774
10/08/1971,1.96324349076547,2.13314315878186,1.98909920906788,-1.43614291185398,-0.266192510586021,-1.03649286503836
10/15/1971,1.82379156422031,1.82479188573832,1.84584299342169,-1.40691362416927,-0.282000860696103,-1.02522762224966
10/22/1971,1.68651738996153,1.56253626010066,1.70696630819506,-1.38481058001922,-0.302498992177575,-1.01413754419828
10/29/1971,1.56546025444102,1.37889590637176,1.58628330650905,-1.37032993065687,-0.327404800243947,-1.0031981526419
11/05/1971,1.47030266124698,1.289988050047,1.49323814612064,-1.36378458321435,-0.356218465824642,-0.992384728830091
11/12/1971,1.40430688319287,1.29337093191638,1.43096479649777,-1.36529085397007,-0.388356539843768,-0.981671354787904
11/19/1971,1.36688570613259,1.37421616453204,1.39859569727567,-1.37469085158396,-0.423050602261237,-0.971029184880933
11/26/1971,1.35125297247779,1.5025242480983,1.38916629493753,-1.39169934854079,-0.459392661918325,-0.960423798324241
12/03/1971,1.34942094887257,1.64768540868102,1.39440297488591,-1.41580135763225,-0.496412530935019,-0.949813024469113
12/10/1971,1.35241997465204,1.77836149090812,1.40510236745211,-1.44641558288518,-0.533069632804703,-0.939146192202761
12/17/1971,1.35014002721917,1.86598201619149,1.41092732566719,-1.48282968768554,-0.56832492274039,-0.928362141240135
12/24/1971,1.33446393788476,1.89137302752324,1.40365846460618,-1.52426290277239,-0.601333493942904,-0.917389291210825
12/31/1971,1.30234663315747,1.85084945916237,1.38002112696394,-1.56985810988203,-0.631258175184525,-0.906148663287658
01/07/1972,1.24437959191028,1.73460580962047,1.33070623397494,-1.61877626578679,-0.657414411288788,-0.894557287476612
01/14/1972,1.16939843706442,1.57014690282191,1.26426056533213,-1.67009693939929,-0.679278475675855,-0.882518872887165
01/21/1972,1.07824202442621,1.37256828032046,1.18147224141906,-1.72291992379943,-0.696419986921535,-0.869953813143331
01/28/1972,0.977575887866792,1.16722284354064,1.0887214413777,-1.776298166475,-0.708479786935267,-0.856785787936833
02/04/1972,0.874895710965072,0.977741690240285,0.993342939502121,-1.82936661691895,-0.715232881122184,-0.842949586751153
02/11/1972,0.775343400598959,0.817802850725512,0.900277119943177,-1.8812989713559,-0.716511062935299,-0.828396554448538
02/18/1972,0.682647183719989,0.693847901561121,0.813149043655444,-1.93137690552534,-0.712251596042371,-0.813095168623137
02/25/1972,0.599809618375759,0.607709853750529,0.734911724050306,-1.97901492001788,-0.702463175857127,-0.797031628152688
03/03/1972,0.52826033971734,0.556347590485968,0.667002907198034,-2.02374360493945,-0.687267308796043,-0.780211864398327
03/10/1972,0.468051767548751,0.534468830430743,0.609483454863993,-2.06522914377374,-0.666851142444044,-0.762660426320559
03/17/1972,0.41706062865684,0.533263674878462,0.560246328022362,-2.10323720461301,-0.641475954049026,-0.74442085822134
03/24/1972,0.372185145460784,0.541240959236879,0.516198558444657,-2.13763316471409,-0.61149229359675,-0.725555736644353
03/31/1972,0.329323969008418,0.544294730874797,0.47331996375483,-2.16843249779267,-0.577352411589552,-0.706142092297837
04/07/1972,0.285318469310224,0.529418035818408,0.428469101864293,-2.19574382768554,-0.539536593679067,-0.686262470548005
04/14/1972,0.23947672711738,0.489780587731199,0.380979808984352,-2.21980956934749,-0.498599636725164,-0.666020715430404
04/21/1972,0.191100982105118,0.420757891983865,0.330192868465592,-2.24098777631404,-0.455117416680822,-0.645508076248578
04/28/1972,0.143178922344625,0.330395163277921,0.279071592640816,-2.25973427966984,-0.409658265851296,-0.624814299938854
05/05/1972,0.0984057014712459,0.229074556513527,0.230555735653175,-2.27667921152708,-0.362717482198976,-0.604023227544252
05/12/1972,0.0611190945470226,0.132977000304539,0.188784142391393,-2.29235861494882,-0.314857519762345,-0.583210113315289
05/19/1972,0.0352178462571515,0.0579862612431113,0.158214105583438,-2.30756166767076,-0.266493876760651,-0.562441522496255
05/26/1972,0.0249636913200914,0.0194441609168146,0.143283912638951,-2.32297096050836,-0.218007926848632,-0.541777469226048
06/02/1972,0.0323643684187829,0.0254603886064783,0.146400767170053,-2.33929732734932,-0.169767133161897,-0.521272053478733
06/09/1972,0.0579803232602287,0.0794646647237534,0.168341148933453,-2.35712921790676,-0.121993517132237,-0.500975205235428
06/16/1972,0.0990865692116642,0.175322471046756,0.206642218066504,-2.37697497632977,-0.074906766288791,-0.48093497422142
