date,b30ret,b20ret,b10ret,b7ret,b5ret,b2ret,b1ret,t90ret,t30ret,cpiret,wti_price,fedfunds,nfci,anfci,nfci_risk,nfci_credit,nfci_leverage,nfci_nonfinancial_leverage,gdp,gdp_growth,ppi,trade_balance,unrate,usd_index
1990-03-31,-0.051113,-0.044353,-0.028089,-0.016606,-0.009294,0.00602,0.016363,0.019578,0.018159,0.020619,21.786666666666665,8.25,0.05376744484590791,-0.11030355997522824,-0.08636228870323491,0.7278543077967472,0.3226918231506915,0.8632439393242521,5872.701,0.021830316028380148,114.2,-6213689304.0,5.3,93.13
1990-06-30,0.04326,0.043723,0.032971,0.033665,0.033669,0.028198,0.027166,0.021064,0.019253,0.009324,17.776666666666667,8.243333333333332,0.002224408115036152,-0.08415202391165064,-0.18043006079810556,0.7761767149104213,0.06280641542183803,0.8589647279691579,5960.028,0.014869989124254746,114.3,-6006718614.0,5.333333333333333,92.39999999999999
1990-09-30,-0.036085,-0.023717,-0.005174,0.009938,0.018183,0.023583,0.02322,0.020535,0.01896,0.021555,26.423333333333332,8.16,0.0855705021971102,0.03319043567788509,-0.1561922403890953,0.8979127926441082,0.666144977646235,0.779134941730417,6015.116,0.009242909597068971,118.4,-9750952568.0,5.7,86.57666666666667
1990-12-31,0.099014,0.090041,0.070046,0.058227,0.052214,0.0338,0.027561,0.020656,0.018309,0.00829,31.883333333333336,7.743333333333332,0.4629259298584775,0.39314449750754044,0.16659136415213138,1.3046980143964668,0.3694820482528321,0.5945012538696292,6004.733,-0.0017261512496183906,118.7,-6282845718.0,6.133333333333333,83.09333333333333
1991-03-31,0.017541,0.018016,0.02085,0.020248,0.016692,0.019653,0.023355,0.016655,0.013858,0.008969,21.87,6.426666666666667,0.1810754666453295,0.2366418747159769,-0.05326076086781167,0.9295751258243428,-0.44028006712916035,0.27423253776833856,6035.178,0.005070167149813232,116.2,-1947669470.0,6.6000000000000005,86.03333333333335
1991-06-30,-0.002667,0.003704,0.007731,0.011817,0.014334,0.020082,0.018054,0.015564,0.014032,0.007407,20.75,5.863333333333333,-0.23571847629291076,-0.1449535700519566,-0.38998218689286257,0.45184307377973926,-0.5586391952608732,-0.1553424865781627,6126.862,0.015191598325683175,116.4,-4144303814.0,6.833333333333333,93.57666666666667
1991-09-30,0.087673,0.087107,0.071818,0.066204,0.060612,0.03455,0.026063,0.015418,0.014073,0.008824,21.66,5.6433333333333335,-0.4751496023057666,-0.5755662543003954,-0.6337720848823278,0.31217367239756916,-0.35964209009673503,-0.4972963248810801,6205.937,0.012906280572338558,116.1,-6850094111.0,6.866666666666667,92.29333333333334
1991-12-31,0.063497,0.067626,0.069572,0.065727,0.056735,0.038551,0.026648,0.014743,0.012001,0.005102,21.73,4.816666666666666,-0.612351598225329,-0.7054809504201022,-0.7801499206091062,0.19717016784756908,-0.35013455659454684,-0.71006340298268,6264.54,0.009443054288176045,115.9,-5726236601.0,7.1000000000000005,87.21333333333332
1992-03-31,-0.042794,-0.036287,-0.02332,-0.026458,-0.019952,7.9e-05,0.009237,0.009842,0.009292,0.010153,18.906666666666666,4.023333333333333,-0.6637836597070961,-0.7493118550165762,-0.7425448545418333,0.003896971362519653,-0.5885988194170901,-0.9514896508476074,6363.102,0.01573331800898381,116.1,-3821477540.0,7.366666666666667,88.71
1992-06-30,0.039037,0.03907,0.045826,0.048454,0.046762,0.032013,0.019741,0.010923,0.009291,0.006461,21.2,3.7699999999999996,-0.8177954608386209,-0.9027545333165018,-0.8801730025789083,-0.17945485310022907,-0.7082729474101943,-1.0813058936281092,6470.763,0.016919577903984573,118.0,-6479240505.0,7.6000000000000005,86.85333333333334
